                                              Reporte de Prueba de Spotify
========================================================================================================================
                                 Artista                    Total Reproducciones                                 Generos
                                   Sisqo                                  253733                                     pop
                                  Eminem                                  284200                                rock/pop
                         Robbie Williams                                  258560                             pop/country
                         Destiny's Child                                  271333                              rock/metal
                                   Modjo                                  307153                                     pop
                         Gigi D'Agostino                                  238759                         hip hop/pop/R&B
                               Eiffel 65                                  268863                                 hip hop
                            Bomfunk MC's                                  306333                                pop/rock
                                   Sting                                  285960                                 pop/R&B
                               Melanie C                                  294200                        Dance/Electronic
                                 Aaliyah                                  284000                                     pop
                               Anastacia                                  245400                                     pop
                            Alice Deejay                                  214883                                     pop
                                 Dr. Dre                                  446932                    pop/Dance/Electronic
                             Linkin Park                                  216880                         hip hop/pop/R&B
                               Tom Jones                                  211893                                     pop
                                 Sonique                                  240866                                     pop
                                  M.O.P.                                  244466                                     pop
                             Limp Bizkit                                  673213                              rock/metal
                                  Darude                                  225493       rock/Folk/Acoustic/easy listening
                                 Da Brat                                  221160                                     pop
                                  Moloko                                  318280                                 hip hop
                                 Chicane                                  210786                    pop/Dance/Electronic
                                     DMX                                  268866                                   metal
                          Debelah Morgan                                  220106                    pop/Dance/Electronic
                          Britney Spears                                  211160                         hip hop/pop/R&B
                               blink 182                                  167066                    pop/Dance/Electronic
                              Faith Hill                                  250546                        Dance/Electronic
                                Bon Jovi                                  224493                             hip hop/pop
                                  *NSYNC                                  200560                                 pop/R&B
                                 Madonna                                  225973                                     pop
                               Ruff Endz                                  242560                                     R&B
                          Montell Jordan                                  519799                         hip hop/pop/R&B
                           Kylie Minogue                                  207866                    pop/Dance/Electronic
                                     JAY                                  283066                                 hip hop
                             LeAnn Rimes                                  229826                             pop/country
                                   Avant                                  255600                                 pop/R&B
                        Enrique Iglesias                                  219360                               pop/latin
                            Toni Braxton                                  261933                                 pop/R&B
                                 Bow Wow                                  175893                         hip hop/pop/R&B
                           Missy Elliott                                  437759                         hip hop/pop/R&B
                         Backstreet Boys                                  234960                                     pop
                          Samantha Mumba                                  201946                                     pop
                                     Mya                                  236906                                 pop/R&B
                               Mary Mary                                  198346                                     R&B
                                    Next                                  243666                         hip hop/pop/R&B
                           Janet Jackson                                  265026                                 pop/R&B
                            Ricky Martin                                  280626                               pop/latin
                             Jagged Edge                                  244053                         hip hop/pop/R&B
                            Mariah Carey                                  759452                                 pop/R&B
                                Baha Men                                  198400                                     R&B
                            Donell Jones                                  243733                                 pop/R&B
                                   Oasis                                  494172                      Folk/Acoustic/rock
                                 DJ Atzi                                  219240     pop/easy listening/Dance/Electronic
                                    P!nk                                  298960                                     pop
                             Craig David                                  456680                         hip hop/pop/R&B
                      Christina Aguilera                                  273706                                     pop
                   Red Hot Chili Peppers                                  528906                                    rock
                                  Sammie                                  251040                         hip hop/pop/R&B
                                 Santana                                  497106                        rock/blues/latin
                                   Kandi                                  243533                                 pop/R&B
                               Vengaboys                                  417619                                     pop
                           Ronan Keating                                  234826                                pop/rock
                          Madison Avenue                                  228140                        Dance/Electronic
