   NFP3266                                                                        Sabotaje
   BZX4462                                                                       Culpa mia
   JKE9650                                                                 La metamorfosis
   RRE8138                                                        Trilogia de la Fundacion
   DEK2757                                                                       En llamas
   JOF6762                                                                     Ojos azules
   HPM0950                                                                  Fahrenheit 451
   KLO8691                                                                        Catedral
   UCA0857                                           SPQR: una historia de la antigua Roma
   ALH8812                                                                    Guerra y Paz
   SIR3963                                                          Memorias de una geisha
   YXF2137                                                             En agosto nos vemos
   TAB4639                                                     El color que cayo del cielo
   JXC1015                                                                 Robinson Crusoe
   OQK1590                                                             Cometas en el cielo
   VSG3432                                                              Bajo bandera negra
   VYK6352                                                          Armas germenes y acero
   GJM4671                                                                        Origenes
   HLC2748                                             El senior de los anillos (Trilogia)
   VYG3594                                                                    Los demonios
   RAO4129                                                                     Stalingrado
   SMI7078                                                                   Los cachorros
   KGO1734                                                          Una historia del mundo
   SXT1015                                                                Mientras agonizo
   JZQ8143                                                                Suenios de robot
   IFL0150                                                                 Romeo y Julieta
   VDL9379                                                           Los juegos del hambre
   XTM9385                                                                        El mundo
   VFI8064                                                                   A sangre fria
   PCS8992                                                              Y no quedo ninguno
   QHZ8547                                                               Adios a las armas
   NEW1762                                                             Territorio comanche
   PWB4941                                                              La montania magica
   NGQ6935                                                        La casa de los espiritus
   GUN8655                                                             Angeles y demoniosi
   XRL3393                                                           Le dedico mi silencio
   UFK9792                                                                El psicoanalista
   BXE0974                                                          Los viajes de Gulliver
   AGQ7769                                                                 La Flecha Negra
   JZU0977                                                                   El alquimista
   MLC7198                                                              Los rios profundos
   BTX3816                                                                      El jugador
   QQQ4712                                                        Nuestra Seniora de Paris
   BZY0235                                                                          Fausto
   AZL1098                                                                   El extranjero
   XBC5847                                                                  Tiempos recios
   BUT4998                                                                          Lolita
   KLV1872                                                             Orgullo y prejuicio
   DTH6788                                                      Los perros duros no bailan
   UDS2730                                                                  Los Nibelungos
   DEF7625                                                              Las uvas de la ira
   PQB0775                                         El diablo de la botella y otros cuentos
   OUU5470                                                               La carta esferica
   EHX6253                                                        La isla de las tormentas
   BAP2859                                                                        El tunel
   GDA4236                                                                    Gente normal
   CKR6798                                                               El lobo estepario
   HDA2333                                                             Lituma en los Andes
   ION3794                                                                      Crepusculo
   CJN4376                               Harry Potter y la camara secreta (Harry Potter 2)
   MEH2993                                                      Hijos de un tiempo perdido
   LGB2311                                                                       Decameron
   FYV9055                                                                         Macbeth
   IGT8523                                                            Una columna de fuego
   JEN0751                                                                    Ana Karenina
   CRR5443                                                                  Un mundo feliz
   WYS2674                                                                     Secuestrado
   RSK1164                                               El amor en los tiempos del colera
   RNG2321                                                                        El Aleph
   CST1133                                                                         Inferno
   MBB0685                                                            El capitan Alatriste
   EZP0333                                                                La Reina del Sur
   BRG4234                                                         La telarania de Carlota
   EFQ0297                                                                       Trampa 22
   ILA4795                                                            La ladrona de libros
   IPE3429                                                                            Sidi
   OBH4691                                                                Crimen y castigo
   HXB2949                                                                       El medico
   QKH2262                                                                          Fiesta
   QMJ4188                                                                            Emma
   KVL6246                              La edad media - barbaros - cristianos y musulmanes
   JSM8271                                                                       La Odisea
   MTZ2227                                                                          Hamlet
   KSX7995                                                             El simbolo perdidoi
   EUO8195                                                              El jardin del Eden
   BUB3833                                                                           Otelo
   RYI5447                                              El corazon es un cazador solitario
   BHD6079                                                                 Zorba el griego
   SPM4763                                                                             Eva
   FVV9246                                                            Matar a un ruisenior
   EFD3949                                                               La divina comedia
