                                   PRUEBA DE CARGA DE CANCIONES
====================================================================================================
                   CODIGO                 DURACION
                    55001                 00:03:45
                    90311                 00:03:12
                    92110                 00:02:54
                    66721                 00:02:59
                    77821                 00:04:05
                    88001                 00:03:31
                    88002                 00:03:12
                    88003                 00:03:01
                    77001                 00:03:14
                    77002                 00:03:09
                    77003                 00:03:32
                    99001                 00:03:04
                    99002                 00:03:04
                    77010                 00:03:13
                    77011                 00:03:20
                    77012                 00:03:18
                    77013                 00:03:03
                    65001                 00:03:04
                    65002                 00:03:03
