                                                                                  REPORTE FINAL
                              ARTISTAS                               TITULOS                        REPRODUCCIONES                               GENEROS                             BAILABLES
                                *NSYNC                           Bye_Bye_Bye                                200560                                   pop                                 0.614
                                *NSYNC                            Girlfriend                                253600                                   pop                                 0.745
                                *NSYNC                                  Gone                                292000                                   pop                                 0.699
                                *NSYNC                      It's_Gonna_Be_Me                                191040                                   pop                                 0.644
                                   112                         It's_Over_Now                                264933                        hiphop-pop-R&B                                  0.66
                                   112                       Peaches_&_Cream                                193093                        hiphop-pop-R&B                                 0.677
                             21_Savage                          Bank_Account                                220306                                hiphop                                 0.884
                             21_Savage                                 a_lot                                288624                                hiphop                                 0.837
                                  2Pac                         Ghetto_Gospel                                238053                                hiphop                                 0.794
                                  2Pac                 Until_The_End_Of_Time                                266506                                hiphop                                 0.757
                              2_Chainz                           It's_A_Vibe                                210200                            hiphop-pop                                 0.822
                              2_Chainz                             We_Own_It                                227906                            hiphop-pop                                 0.563
                                   3LW                               No_More                                263440                               pop-R&B                                 0.721
                                 3OH!3                           DONTTRUSTME                                192573                       hiphop-pop-rock                                 0.791
                                 3OH!3                         My_First_Kiss                                192440                       hiphop-pop-rock                                 0.682
                                 3OH!3                            Starstrukk                                203093                       hiphop-pop-rock                                 0.605
                          3_Doors_Down                      Here_Without_You                                238733                        pop-rock-metal                                 0.557
                          3_Doors_Down                      It's_Not_My_Time                                241960                        pop-rock-metal                                 0.529
                          3_Doors_Down                            Kryptonite                                233933                        pop-rock-metal                                 0.545
                          3_Doors_Down                             Let_Me_Go                                243053                        pop-rock-metal                                 0.478
                          3_Doors_Down                         When_I'm_Gone                                260333                        pop-rock-metal                                  0.53
                               50_Cent                          21_Questions                                224440                            hiphop-pop                                 0.646
                               50_Cent                        Ayo_Technology                                247946                            hiphop-pop                                  0.63
                               50_Cent                            Candy_Shop                                209106                            hiphop-pop                                 0.614
                               50_Cent                         Disco_Inferno                                214226                            hiphop-pop                                 0.925
                               50_Cent                            In_Da_Club                                193466                            hiphop-pop                                 0.899
                               50_Cent                        Just_A_Lil_Bit                                237706                            hiphop-pop                                 0.489
                               50_Cent                         Outta_Control                                247506                            hiphop-pop                                 0.772
                               50_Cent                              P.I.M.P.                                249480                            hiphop-pop                                 0.712
                               50_Cent                               Wanksta                                219400                            hiphop-pop                                 0.802
                   5_Seconds_of_Summer                                Easier                                157492                                   pop                                 0.505
                   5_Seconds_of_Summer                  She_Looks_So_Perfect                                202496                                   pop                                 0.494
                   5_Seconds_of_Summer                            Youngblood                                203417                                   pop                                 0.596
                               6ix9ine                                  FEFE                                179404                                hiphop                                 0.931
                               6ix9ine                                 GUMMO                                157643                                hiphop                                  0.66
                              99_Souls                      The_Girl_Is_Mine                                216613                      Dance/Electronic                                 0.683
                             A$AP_Ferg                            Plain_Jane                                173600                            hiphop-pop                                 0.797
                            A$AP_Rocky                      F**kin'_Problems                                233786                                hiphop                                 0.853
                           A.R._Rahman                               Jai_Ho!                                222400                                   pop                                 0.657
                                    A1                  Caught_in_the_Middle                                206466                                   pop                                 0.519
                                   AJR                                  Weak                                201160                                  rock                                 0.673
                             AJ_Tracey                        Ladbroke_Grove                                190537               hiphop-Dance/Electronic                                 0.903
                            AWOLNATION                                  Sail                                259102                              pop-rock                                 0.825
                A_Boogie_Wit_da_Hoodie                              Drowning                                209269                                hiphop                                 0.839
                A_Boogie_Wit_da_Hoodie                       Look_Back_at_It                                179449                                hiphop                                 0.791
